rowno,Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
5627,Lexus,RC 300,2016,premium unleaded (required),255.0,6.0,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,26,19,454,42610
5628,Pontiac,Trans Sport,1996,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3,,Compact,Passenger Minivan,24,17,210,2000
5629,Hyundai,Santa Fe,2017,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,17,1439,36700
5630,Scion,FR-S,2016,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,105,25305
5631,GMC,Canyon,2012,regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,4,,Compact,Crew Cab Pickup,25,18,549,24685
5632,Subaru,Impreza,2017,regular unleaded,152.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,38,28,640,21195
5633,GMC,Envoy XUV,2005,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,18,13,549,29780
5634,Chevrolet,Sonic,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,27,1385,21215
5635,Dodge,Grand Caravan,2015,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,25,17,1851,30995
5636,Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,19,15,2202,27300
5637,Infiniti,QX80,2016,premium unleaded (recommended),400.0,8.0,AUTOMATIC,rear wheel drive,4,Luxury,Large,4dr SUV,20,14,190,63250
5638,Toyota,Prius,2015,regular unleaded,134.0,4.0,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,48,51,2031,30005
5639,Hyundai,Sonata,2015,regular unleaded,245.0,4.0,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,31,21,1439,33525
5640,Cadillac,CTS Coupe,2013,regular unleaded,318.0,6.0,AUTOMATIC,rear wheel drive,2,,Midsize,Coupe,27,18,1624,48150
5641,Infiniti,QX80,2015,premium unleaded (recommended),400.0,8.0,AUTOMATIC,four wheel drive,4,Luxury,Large,4dr SUV,20,14,190,66350
5642,Ford,Probe,1997,regular unleaded,118.0,4.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,30,23,5657,2000
5643,Subaru,Tribeca,2012,regular unleaded,256.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,640,30595
5644,Volkswagen,Golf,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,25,873,24895
5645,BMW,4 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,35,23,3916,40750
5646,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
5647,Acura,RDX,2015,premium unleaded (recommended),273.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,36495
5648,Toyota,Camry Hybrid,2017,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,37,40,2031,27995
5649,Chevrolet,Uplander,2007,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Compact,Passenger Minivan,23,16,1385,20205
5650,Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,all wheel drive,4,,Compact,4dr SUV,33,26,2202,24695
5651,Audi,RS 6,2003,premium unleaded (required),450.0,8.0,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,20,14,3105,82700
5652,Plymouth,Voyager,1999,regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,3,,Midsize,Passenger Minivan,24,18,535,2000
5653,Acura,TL,2012,premium unleaded (required),305.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,18,204,45185
5654,Lincoln,MKZ,2016,regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,22,61,47495
5655,Volkswagen,Phaeton,2006,premium unleaded (required),335.0,8.0,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,21,14,873,74350
5656,Cadillac,CTS,2017,premium unleaded (recommended),268.0,4.0,AUTOMATIC,all wheel drive,4,,Large,Sedan,29,21,1624,53695
5657,Suzuki,XL7,2008,regular unleaded,252.0,6.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,22,16,481,21599
5658,Suzuki,Forenza,2008,regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,27,19,481,16989
5659,Mitsubishi,Vanwagon,1990,regular unleaded,107.0,4.0,AUTOMATIC,rear wheel drive,3,,Compact,Passenger Minivan,19,16,436,2000
5660,Cadillac,ATS,2016,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,28,19,1624,49210
5661,BMW,7 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916,87300
5662,Subaru,WRX,2016,premium unleaded (required),305.0,4.0,MANUAL,all wheel drive,4,"Factory Tuner,High-Performance",Compact,Sedan,23,17,640,39995
5663,Ford,Shelby GT350,2017,premium unleaded (recommended),526.0,8.0,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,21,14,5657,54295
5664,Mercedes-Benz,GLE-Class,2017,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,23,18,617,65650
5665,Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,27,22,436,27695
5666,Subaru,Legacy,2016,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,36,26,640,22045
5667,GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,549,43995
5668,Volkswagen,Jetta,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,37,25,873,25380
5669,Audi,TTS,2015,premium unleaded (required),265.0,4.0,AUTOMATED_MANUAL,all wheel drive,2,"Factory Tuner,Luxury,Performance",Compact,Convertible,31,22,3105,51700
5670,Hyundai,Accent,2016,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4,,Compact,4dr Hatchback,38,27,1439,14995
5671,Suzuki,Forenza,2008,regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,28,19,481,15589
5672,Mitsubishi,Expo,1994,regular unleaded,136.0,4.0,MANUAL,four wheel drive,4,,Compact,4dr Hatchback,22,18,436,2000
5673,Lexus,IS 250 C,2014,premium unleaded (required),204.0,6.0,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,30,21,454,42860
5674,GMC,Jimmy,2000,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,20,15,549,2623
5675,Toyota,Yaris,2016,regular unleaded,106.0,4.0,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,15995
5676,Honda,Crosstour,2015,regular unleaded,278.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr Hatchback,28,19,2202,35290
5677,Volkswagen,GTI,2014,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,26195
5678,Toyota,Tercel,1996,regular unleaded,93.0,4.0,MANUAL,front wheel drive,2,,Compact,Coupe,36,29,2031,2000
5679,BMW,X3,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,27,19,3916,46800
5680,Audi,A6,2016,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,,Midsize,Sedan,35,24,3105,46200
5681,Kia,Borrego,2009,regular unleaded,276.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,21,16,1720,29995
5682,Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,17,12,61,40290
5683,Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,four wheel drive,2,,Compact,Regular Cab Pickup,20,15,586,3190
5684,Suzuki,Aerio,2005,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,28,22,481,13449
5685,Land Rover,Range Rover,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,High-Performance",Large,4dr SUV,19,13,258,142995
5686,Volvo,850,1995,regular unleaded,240.0,5.0,AUTOMATIC,front wheel drive,4,,Midsize,Wagon,24,17,870,2000
5687,Dodge,Magnum,2007,regular unleaded,340.0,8.0,AUTOMATIC,rear wheel drive,4,Performance,Large,Wagon,23,15,1851,31515
5688,Kia,Spectra,2008,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,32,24,1720,16995
5689,Lincoln,MKZ,2017,premium unleaded (recommended),245.0,4.0,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,28,20,61,41400
5690,Lamborghini,Murcielago,2008,premium unleaded (required),632.0,12.0,MANUAL,all wheel drive,2,"Exotic,High-Performance",Compact,Coupe,13,8,1158,336400
5691,Chevrolet,Astro Cargo,2005,regular unleaded,190.0,6.0,AUTOMATIC,all wheel drive,3,,Large,Cargo Minivan,18,14,1385,25430
5692,Ford,Transit Wagon,2017,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,3,Diesel,Large,Passenger Van,19,14,5657,42075
5693,Suzuki,Samurai,1994,regular unleaded,66.0,4.0,MANUAL,four wheel drive,2,,Compact,Convertible SUV,26,24,481,2000
5694,Chevrolet,Camaro,2015,premium unleaded (required),505.0,8.0,MANUAL,rear wheel drive,2,,Midsize,Coupe,19,13,1385,72305
5695,Ford,C-Max Hybrid,2017,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,37,42,5657,24120
5696,Dodge,Nitro,2010,regular unleaded,260.0,6.0,AUTOMATIC,rear wheel drive,4,"Crossover,Performance",Midsize,4dr SUV,21,16,1851,25750
5697,Toyota,Sienna,2015,regular unleaded,266.0,6.0,AUTOMATIC,front wheel drive,4,,Large,Passenger Minivan,25,18,2031,39780
5698,Oldsmobile,LSS,1998,regular unleaded,195.0,6.0,AUTOMATIC,front wheel drive,4,,Large,Sedan,27,17,26,2283
5699,Cadillac,XLR,2007,regular unleaded,320.0,8.0,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,24,15,1624,84160
5700,FIAT,500,2017,premium unleaded (recommended),101.0,4.0,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,27,819,15990
5701,Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,17,14,436,32887
5702,Suzuki,XL-7,2005,regular unleaded,185.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,21,16,481,26099
5703,Chevrolet,Express,2015,flex-fuel (unleaded/E85),285.0,8.0,AUTOMATIC,rear wheel drive,3,,Large,Passenger Van,17,11,1385,36355
5704,GMC,Vandura,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3,,Large,Cargo Van,16,12,549,2000
5705,Nissan,Frontier,2016,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,21,15,2009,35590
5706,Subaru,Impreza WRX,2014,premium unleaded (required),305.0,4.0,MANUAL,all wheel drive,4,"Factory Tuner,High-Performance",Compact,Sedan,23,17,640,34495
5707,Cadillac,XT5,2017,premium unleaded (required),310.0,6.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,1624,51895
5708,Mazda,MPV,2005,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4,,Compact,Passenger Minivan,23,16,586,28515
5709,Suzuki,Vitara,2002,regular unleaded,127.0,4.0,AUTOMATIC,rear wheel drive,4,,Compact,4dr SUV,23,20,481,17799
5710,Chevrolet,Cruze,2015,diesel,148.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,46,27,1385,25660
5711,Subaru,Outback,2016,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25295
5712,GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,549,38540
5713,Ford,Fiesta,2016,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,5657,18530
5714,Chevrolet,Silverado 1500 Hybrid,2012,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,1385,39640
5715,Volvo,S80,2014,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,29,20,870,39900
5716,Dodge,Ram Pickup 1500,2009,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,19,14,1851,29725
5717,Chrysler,Crossfire,2007,premium unleaded (required),215.0,6.0,MANUAL,rear wheel drive,2,,Compact,Convertible,23,15,1013,34595
5718,Volvo,V90,1998,regular unleaded,181.0,6.0,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,16,870,2200
5719,Volkswagen,Golf GTI,2015,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,27980
5720,Cadillac,ATS,2017,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,30,22,1624,40395
5721,Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,33,26,2202,32095
5722,BMW,4 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,48750
5723,Chevrolet,Equinox,2016,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4,,Compact,4dr SUV,29,20,1385,26960
5724,Dodge,Dart,2015,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,36,25,1851,16495
5725,Chevrolet,HHR,2009,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Compact,Wagon,29,21,1385,25135
5726,Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,19,13,5657,32360
5727,Buick,Rainier,2007,regular unleaded,291.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr SUV,20,14,155,33570
5728,GMC,Envoy XL,2004,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,18,13,549,31320
5729,Volkswagen,Golf GTI,2016,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,32730
5730,Toyota,Camry,2015,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,35,25,2031,26150
5731,Subaru,Impreza,2016,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4,,Compact,Sedan,37,28,640,22595
5732,Cadillac,Escalade,2015,flex-fuel (unleaded/E85),420.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,22,15,1624,81470
5733,Kia,Spectra,2007,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,,Compact,Wagon,30,23,1720,15995
5734,Dodge,Monaco,1990,regular unleaded,150.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,24,15,1851,2000
5735,GMC,Acadia,2017,regular unleaded,310.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,4dr SUV,25,18,549,41750
5736,Mitsubishi,Eclipse,2010,premium unleaded (recommended),265.0,6.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,25,16,436,28089
5737,Mercedes-Benz,C-Class,2016,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,31,24,617,43125
5738,Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,26,23,436,22695
5739,FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,21,819,25235
5740,Lincoln,LS,2005,premium unleaded (required),280.0,8.0,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,61,40190
5741,GMC,Acadia,2017,regular unleaded,310.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr SUV,25,18,549,46920
5742,Audi,RS 5,2013,premium unleaded (required),450.0,8.0,AUTOMATED_MANUAL,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Midsize,Coupe,23,16,3105,68900
5743,Maserati,Quattroporte,2016,premium unleaded (required),404.0,6.0,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Large,Sedan,23,16,238,99900
5744,GMC,Sierra 1500 Hybrid,2012,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,46790
5745,Suzuki,Kizashi,2011,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,29,20,481,23049
5746,Ford,Focus,2015,flex-fuel (unleaded/E85),160.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,Flex Fuel,Compact,Sedan,40,27,5657,23170
5747,Land Rover,LR2,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,24,17,258,41700
5748,Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
5749,GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,13,549,33935
5750,Chevrolet,S-10,2002,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,2,Flex Fuel,Compact,Regular Cab Pickup,20,15,1385,18519
5751,Chevrolet,Impala,2015,flex-fuel (unleaded/natural gas),283.0,6.0,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Large,Sedan,25,17,1385,37535
5752,Pontiac,G6,2008,regular unleaded,252.0,6.0,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,26,17,210,26960
5753,Chevrolet,Malibu Classic,2008,regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,30,22,1385,17935
5754,Suzuki,Kizashi,2011,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,30,23,481,25949
5755,Audi,A4,2017,premium unleaded (recommended),190.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,,Midsize,Sedan,37,27,3105,34900
5756,Buick,LaCrosse,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4,"Flex Fuel,Hybrid",Large,Sedan,36,25,155,35725
5757,Buick,Reatta,1990,regular unleaded,165.0,6.0,AUTOMATIC,front wheel drive,2,,Compact,Coupe,25,16,155,2000
5758,Chevrolet,Aveo,2010,regular unleaded,108.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,14100
5759,Toyota,Sequoia,2015,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4,,Large,4dr SUV,17,13,2031,56580
5760,Dodge,Magnum,2007,premium unleaded (required),425.0,8.0,AUTOMATIC,rear wheel drive,4,"Factory Tuner,High-Performance",Large,Wagon,18,13,1851,37795
5761,Volvo,850,1995,regular unleaded,168.0,5.0,MANUAL,front wheel drive,4,,Midsize,Wagon,26,18,870,2000
5762,Volkswagen,Beetle,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2,,Compact,2dr Hatchback,30,24,873,31625
5763,Kia,Spectra,2009,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,30,23,1720,15550
5764,Cadillac,SRX,2015,regular unleaded,308.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,16,1624,46135
5765,Kia,Sedona,2017,regular unleaded,276.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,25,18,1720,36900
5766,Plymouth,Voyager,2000,flex-fuel (unleaded/E85),158.0,6.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,23,16,535,2317
5767,Acura,RLX,2016,premium unleaded (recommended),310.0,6.0,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,204,50950
5768,Ford,Freestar,2005,regular unleaded,365.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,22,16,5657,23930
5769,Scion,FR-S,2014,premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,34,25,105,25800
5770,Lexus,RX 400h,2006,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,25,28,454,44660
5771,Acura,TL,2012,premium unleaded (required),305.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,18,204,39255
5772,Mazda,RX-7,1993,regular unleaded,255.0,6.0,MANUAL,rear wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,23,15,586,7523
5773,Toyota,Highlander,2016,regular unleaded,270.0,6.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,19,2031,40915
5774,Subaru,Legacy,2015,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,36,26,640,26795
5775,Volvo,S70,2000,regular unleaded,190.0,5.0,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,24,17,870,2430
5776,Suzuki,Forenza,2006,regular unleaded,126.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,28,19,481,15999
5777,Cadillac,Escalade EXT,2013,flex-fuel (premium unleaded recommended/E85),403.0,8.0,AUTOMATIC,all wheel drive,4,,Large,Crew Cab Pickup,18,13,1624,67250
5778,Honda,Civic,2017,premium unleaded (recommended),180.0,4.0,MANUAL,front wheel drive,4,,Compact,4dr Hatchback,39,30,2202,21300
5779,Toyota,FJ Cruiser,2013,regular unleaded,260.0,6.0,MANUAL,four wheel drive,4,,Midsize,4dr SUV,18,15,2031,28210
5780,Saab,09-May,2011,premium unleaded (recommended),220.0,4.0,AUTOMATIC,front wheel drive,4,,Large,Sedan,28,18,376,43435
5781,Acura,TL,2013,premium unleaded (recommended),280.0,6.0,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,204,37405
5782,Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,34,27,2202,25545
5783,Volkswagen,e-Golf,2016,electric,115.0,0.0,DIRECT_DRIVE,front wheel drive,4,,Compact,4dr Hatchback,105,126,873,35595
5784,Cadillac,XTS,2015,premium unleaded (required),410.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,1624,62735
5785,Ford,Probe,1995,regular unleaded,118.0,4.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,30,23,5657,2000
5786,Kia,Rondo,2008,regular unleaded,162.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,26,19,1720,17895
5787,Chevrolet,Sportvan,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3,,Midsize,Passenger Van,16,11,1385,2000
5788,FIAT,500,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,40,31,819,17900
5789,Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,29,20,61,40460
5790,Scion,xD,2012,regular unleaded,128.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16250
5791,Mercedes-Benz,S-Class,2016,premium unleaded (required),449.0,8.0,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Large,Coupe,24,16,617,121550
5792,Mazda,Truck,2003,regular unleaded,147.0,6.0,MANUAL,rear wheel drive,2,,Compact,Extended Cab Pickup,21,17,586,18885
5793,Volkswagen,Touareg,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Diesel",Midsize,4dr SUV,29,20,873,56670
5794,Ford,Transit Wagon,2016,flex-fuel (unleaded/E85),275.0,6.0,AUTOMATIC,rear wheel drive,3,Flex Fuel,Midsize,Passenger Van,19,14,5657,33175
5795,Nissan,Altima,2015,regular unleaded,270.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,32,22,2009,29830
5796,Nissan,Stanza,1990,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,26,19,2009,2000
5797,Audi,Q7,2014,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Large,4dr SUV,28,19,3105,52900
5798,GMC,Terrain,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,22,549,33065
5799,Volkswagen,Beetle,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,31,23,873,25450
5800,Buick,Reatta,1991,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,25,16,155,2000
5801,Ford,Focus,2015,flex-fuel (unleaded/E85),160.0,4.0,MANUAL,front wheel drive,4,Flex Fuel,Compact,Sedan,36,26,5657,17170
5802,Toyota,Tacoma,2016,regular unleaded,278.0,6.0,AUTOMATIC,rear wheel drive,4,,Compact,Crew Cab Pickup,24,19,2031,31125
5803,Ford,Fiesta,2017,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,5657,14130
5804,Mazda,6,2017,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,35,26,586,25245
5805,Porsche,Macan,2017,premium unleaded (required),360.0,6.0,AUTOMATED_MANUAL,all wheel drive,4,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,23,17,1715,67200
5806,Toyota,FJ Cruiser,2014,regular unleaded,260.0,6.0,MANUAL,four wheel drive,4,,Midsize,4dr SUV,18,15,2031,28860
5807,Audi,Q5,2015,premium unleaded (required),272.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,3105,45400
